Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,504973,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,511243,CHOLAFIN.NS
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,500087,CIPLA.NS
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,532210,CUB.NS
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,543318,CLEAN.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,533278,COALINDIA.NS
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017,540678,COCHINSHIP.NS
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,532541,COFORGE.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,500830,COLPAL.NS
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,543232,CAMS.NS
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,531344,CONCOR.NS
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,506395,COROMANDEL.NS
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,541770,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,539876,CROMPTON.NS
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,500480,CUMMINSIND.NS
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,532175,CYIENT.NS
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,523367,DCMSHRIRAM.NS
DLF Ltd.,Realty,DLF,EQ,INE271C01023,532868,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,500096,DABUR.NS
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,542216,DALBHARAT.NS
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,506401,DEEPAKNTR.NS
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033,532848,DELTACORP.NS
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,543330,DEVYANI.NS
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010,532960,DHANI.NS
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012,540047,DBL.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,532488,DIVISLAB.NS
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,540699,DIXON.NS
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,539524,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,500124,DRREDDY.NS
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,500125,EIDPARRY.NS
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,500840,EIHOTEL.NS
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020,500135,EPL.NS
