Company Name,Industry,ISIN Code,NSE Ticker,BSE Ticker
Aster DM Healthcare Ltd.,Healthcare,INE914M01019,ASTERDM.NS,540975
AstraZenca Pharma India Ltd.,Healthcare,INE203A01020,ASTRAZEN.NS,506820
Astral Ltd.,Capital Goods,INE006I01046,ASTRAL.NS,532830
Atul Ltd.,Chemicals,INE100A01010,ATUL.NS,500027
Aurobindo Pharma Ltd.,Healthcare,INE406A01037,AUROPHARMA.NS,524804
Avanti Feeds Ltd.,Fast Moving Consumer Goods,INE871C01038,AVANTIFEED.NS,512573
Avenue Supermarts Ltd.,Consumer Services,INE192R01011,DMART.NS,540376
Axis Bank Ltd.,Financial Services,INE238A01034,AXISBANK.NS,532215
BASF India Ltd.,Chemicals,INE373A01013,BASF.NS,500042
BSE Ltd.,Financial Services,INE118H01025,BSE.NS,BSE
Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010,BAJAJ-AUTO.NS,532977
Bajaj Electricals Ltd,Consumer Durables,INE193E01025,BAJAJELEC.NS,500031
Bajaj Finance Ltd.,Financial Services,INE296A01024,BAJFINANCE.NS,500034
Bajaj Finserv Ltd.,Financial Services,INE918I01018,BAJAJFINSV.NS,532978
Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012,BAJAJHLDNG.NS,500490
Balaji Amines Ltd.,Chemicals,INE050E01027,BALAMINES.NS,530999
Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026,BALKRISIND.NS,502355
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028,BALRAMCHIN.NS,500038
Bandhan Bank Ltd.,Financial Services,INE545U01014,BANDHANBNK.NS,541153
Bank of Baroda,Financial Services,INE028A01039,BANKBARODA.NS,532134
Bank of India,Financial Services,INE084A01016,BANKINDIA.NS,532149
Bank of Maharashtra,Financial Services,INE457A01014,MAHABANK.NS,532525
Bata India Ltd.,Consumer Durables,INE176A01028,BATAINDIA.NS,500043
Bayer Cropscience Ltd.,Chemicals,INE462A01022,BAYERCROP.NS,506285
Berger Paints India Ltd.,Consumer Durables,INE463A01038,BERGEPAINT.NS,509480
Bharat Dynamics Ltd.,Capital Goods,INE171Z01018,BDL.NS,541143
Bharat Electronics Ltd.,Capital Goods,INE263A01024,BEL.NS,500049
Bharat Forge Ltd.,Capital Goods,INE465A01025,BHARATFORG.NS,500493
Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026,BHEL.NS,500103
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011,BPCL.NS,500547
Bharti Airtel Ltd.,Telecommunication,INE397D01024,BHARTIARTL.NS,532454
Biocon Ltd.,Healthcare,INE376G01013,BIOCON.NS,532523
Birla Corporation Ltd.,Construction Materials,INE340A01012,BIRLACORPN.NS,500335
Birlasoft Ltd.,Information Technology,INE836A01035,BSOFT.NS,532400
Blue Dart Express Ltd.,Services,INE233B01017,BLUEDART.NS,526612
Blue Star Ltd.,Consumer Durables,INE472A01039,BLUESTARCO.NS,500067
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025,BBTC.NS,501425
Borosil Renewables Ltd.,Capital Goods,INE666D01022,BORORENEW.NS,502219
Bosch Ltd.,Automobile and Auto Components,INE323A01026,BOSCHLTD.NS,500530
Brigade Enterprises Ltd.,Realty,INE791I01019,BRIGADE.NS,532929
Brightcom Group Ltd.,Information Technology,INE425B01027,BCG.NS,532368
Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030,BRITANNIA.NS,500825
C.E. Info Systems Ltd.,Information Technology,INE0BV301023,MAPMYINDIA.NS,543425
CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022,CCL.NS,519600
CESC Ltd.,Power,INE486A01021,CESC.NS,500084
CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029,CGPOWER.NS,500093
CRISIL Ltd.,Financial Services,INE007A01025,CRISIL.NS,500092
CSB Bank Ltd.,Financial Services,INE679A01013,CSBBANK.NS,542867
Can Fin Homes Ltd.,Financial Services,INE477A01020,CANFINHOME.NS,511196
Canara Bank,Financial Services,INE476A01014,CANBK.NS,532483
Caplin Point Laboratories Ltd.,Healthcare,INE475E01026,CAPLIPOINT.NS,524742
Capri Global Capital Ltd.,Financial Services,INE180C01026,CGCL.NS,531595
Carborundum Universal Ltd.,Capital Goods,INE120A01034,CARBORUNIV.NS,513375
Castrol India Ltd.,Oil Gas & Consumable Fuels,INE172A01027,CASTROLIND.NS,500870
Ceat Ltd.,Automobile and Auto Components,INE482A01020,CEATLTD.NS,500878
Central Bank of India,Financial Services,INE483A01010,CENTRALBK.NS,532885
Central Depository Services (India) Ltd.,Financial Services,INE736A01011,CDSL.NS,CDSL
Century Plyboards (India) Ltd.,Consumer Durables,INE348B01021,CENTURYPLY.NS,532548
Century Textile & Industries Ltd.,Forest Materials,INE055A01016,CENTURYTEX.NS,500040
Cera Sanitaryware Ltd,Consumer Durables,INE739E01017,CERA.NS,532443
