Date,Ambuja Cement Ltd.,Asian Paints,Can Fin Homes Ltd,Century Plyboards(India) Ltd.,Crompton Greaves Consumer Electricals Ltd.,Housing Development Finance Corporation Ltd.,Heidelbergcement India Ltd,JK Cement Ltd,Kajaria Ceramics Ltd.,Orient Electric Ltd.,Polycab India Ltd,Prince Pipes and Fittings Ltd.,Supreme Industries Ltd.,
6/5/2020,0.044712215,0.002938056,0.036192407,0.045284767,-0.005664501,0.001303592,0.045769291,0.008570156,0.016940282,-0.025936663,0.007754985,0.049651958,0.014949281,
6/8/2020,-0.018708401,-0.002624301,0.006858035,-0.004019624,-0.001752822,-0.003283101,0.017276131,-0.000427004,-0.018595072,-0.016137709,0.037700418,0.049955806,0.006226255,
6/9/2020,-0.019064998,0.004772861,-0.01631552,-0.01165922,-0.019315229,0.006417496,-0.015284444,-0.000598019,-0.022894769,-0.016129016,-0.034336622,-0.049684223,-0.001062084,
6/10/2020,0.022364201,-0.003714928,-0.000644162,-0.000453679,0.060205965,0.020992085,0.016958879,-0.000555695,-0.011042218,0.004723568,-0.014778023,-0.049623381,0.003559354,
6/11/2020,-0.013020833,-0.015495569,0.003383881,-0.024965955,-0.037154329,-0.012076547,-0.032786817,-0.011119665,-0.027505462,-0.011338512,-0.028427264,-0.049883436,-0.006909258,
6/12/2020,0.022163572,0.016608717,-0.000481753,0.005121,-0.01315501,0.002657417,0.017533605,0.030101245,0.031923813,-0.000279737,0.006202353,-0.021589839,-0.00074216,
6/15/2020,-0.011357754,-0.011695743,-0.024742969,-0.001389476,-0.015107794,-0.022625783,-0.013785233,0.00508013,-0.002578052,-0.004196978,-0.003685092,0.007522568,-0.002088749,
6/16/2020,-0.004699707,0.002162897,0.050741331,-0.015769986,0.016241851,0.040105043,-0.020675615,-0.01633312,-0.025030559,-0.000842899,0.007935473,-0.011946212,0.013954138,
6/17/2020,-0.018100798,-0.016217505,0.042333021,0.001413775,0.020865691,-0.014956913,0.024383029,0.034864894,-0.016882986,0.014904352,0.019215323,-0.012090649,-0.004082711,
6/18/2020,0.001068727,0.00150434,0.052346553,0.042823558,-0.001739482,0.034157037,0.006386102,0.02236448,0.000993489,-0.00332497,-0.006415244,0.049974439,0.038553639,
6/19/2020,0.018414715,0.015458725,0.02930246,0.07987363,0.000653426,-0.011234126,0.002595887,0.106566593,0.039132337,0.021684703,0.055738551,0.049538672,0.017430279,
6/22/2020,0.001572343,0.018274283,0.023468997,0.00668613,-0.019590771,-0.008555366,0.044303779,0.014908085,0.071087425,-0.019047619,0.005678966,-0.014345238,-0.011551874,
6/23/2020,0.011250622,0.019217383,-0.014789721,-0.001660415,0.023312611,0.010278087,0.041597813,-0.002501787,0.030318456,0.020527029,0.028420756,0.049765287,0.049261279,
6/24/2020,-0.023544647,0.037620984,0.012808221,-0.010810836,-0.014536736,-0.021952003,-0.04707754,-0.034933716,-0.035608294,0.007610814,-0.034694985,0.003577763,-0.028538964,
6/25/2020,-0.012983556,-0.033338103,-0.016861605,-0.01513237,0.016292368,-0.011097178,0.005828493,0.03734921,0.02910258,0.003776622,-0.00243782,-0.017825312,-0.021373316,
6/26/2020,0.009395973,-0.001332149,-0.019640404,0.029022633,0.023613505,-0.004753107,0.002483427,-0.017966499,-0.000498349,0.069604927,-0.019863446,0.049909257,-0.003757903,
6/29/2020,-0.002393601,0.003082823,-0.03132056,-0.003732929,-0.005079352,-0.015938029,-0.028626464,-0.007070193,-0.024305123,0.013065357,-0.016174356,-0.020743249,-0.002662643,
6/30/2020,0.03225808,-0.002659653,-0.015875275,-0.01665279,0.015315851,0.007753496,0.003683815,0.012295834,0.002554931,0.01016859,0.025797616,-0.039276297,0.003559669,
7/1/2020,-0.007231452,0.000325965,0.023235181,0.0042337,0.000628574,0.045878095,0.010728367,0.002538071,0.000891963,-0.027989183,0.010579041,0.015158489,-0.004345041,
7/2/2020,0.007804371,-0.000918275,0.037315573,0.002529537,0.005234506,0.029588822,0.007821195,0.009077793,0.013112652,-0.00252589,0.054660533,0.027601838,0.01055395,
7/3/2020,0.010841539,0.00545529,-0.014640267,0.05172415,-0.015205204,-0.002249332,0.000554358,0.012759346,0.008042252,-0.024816379,0.004457652,-0.003082396,4.40E-05,
7/6/2020,-0.009703826,0.007784596,0.050091924,0.013994402,0.042724223,-0.008752387,0.013850416,0.029160968,0,-0.029083386,-0.000828417,0.007950544,0.022296686,
7/7/2020,-0.003352212,0.021593484,0.002021291,0.028391094,-0.021906669,0.009659148,-0.002459,0.004332675,0.00024933,-0.022465884,-0.009771408,-0.009640653,-0.010732717,
7/8/2020,0.011901698,-0.034082772,-0.024206563,0.095475558,-0.006014153,-0.000370982,-0.012051476,-0.026911307,-0.026420752,-0.024350188,0.014712024,0.005752226,-0.009237155,
7/9/2020,0.032983875,0.018383988,0.01157666,-0.047952438,0.030669753,0.029585602,0.013307423,0.001794396,-0.004608342,-0.004486837,-0.002239599,-0.01363839,-0.02480316,
7/10/2020,-0.023762391,-0.008006988,-0.017302469,-0.024999955,-0.024898761,-0.028761221,-0.017783858,0.007937657,0.000257217,0.001971865,-0.010455475,-0.024977658,-0.002976369,
7/13/2020,0.006338742,0.001262122,-0.000970487,-0.013197586,0.020552198,-0.021447482,-0.011142061,-0.008014496,0.004371335,-0.018554979,-0.021609332,-0.022415412,0.00701072,
7/14/2020,-0.040060454,-0.010113446,-0.030391291,0.017577285,-0.01078116,-0.029232517,-0.017464823,-0.00333708,-0.000128055,-0.00744774,-0.013117755,-0.025269041,0.002515315,
7/15/2020,-0.009711318,-0.009920635,0.045942429,-0.023657484,-0.003701394,-0.000948845,0.002006916,0.004546541,-0.000255987,-0.001154384,0.009211762,0.000480033,0.023297491,
7/16/2020,0.020408196,0.012891411,-0.016694051,0.011538462,-0.004127967,-0.001173236,-0.011158781,-0.022068593,0.000256052,0.006356491,-0.004471973,-0.01295584,0.023905472,
7/17/2020,0.004935049,0.014587806,-0.003757238,-0.001520889,0.007046619,0.010096166,0.013310203,0.009902003,0.000384136,0.033304641,0.012183896,0.049586763,0.005986487,
7/20/2020,0.011630913,0.019616946,0.037155992,-0.013709086,0.03087055,0.000110792,0.007995396,0.017158709,0.001407698,0.016115639,0.024499925,0.019453508,-0.017725152,
7/21/2020,0.047266225,-0.015614282,-0.003367003,-0.008494256,-0.029347139,0.042966681,0.006515546,0.06178407,0.009840271,0.003554793,0.008367018,-0.017264893,0.008005539,
7/22/2020,-0.019760932,-0.016528926,0.022027011,-0.011682184,0.011929222,-0.001380286,0.021953331,-0.014867996,-0.000126597,-0.014986376,-0.029953524,0.002773883,-0.003090904,
7/23/2020,-0.014683908,0.01890022,0.056459094,-0.005910165,0.024999975,-0.002790994,-0.029193076,0.025576847,0.001139127,0.008575397,0.012618252,0.00092214,-0.009689088,
7/24/2020,0.015155342,-0.009115638,-0.009261608,0.003567158,-0.006742007,-0.018392152,-0.016453866,-0.020901824,0.021491783,-0.019747702,-0.018272227,-0.016582248,-0.012958233,
7/27/2020,0.030853431,0.03860867,-0.023875649,-0.006319079,-0.014573743,0.005132217,-0.003172789,-0.013201194,0.051361386,-0.013710112,-0.018429213,0.007962515,0.03387821,
7/28/2020,0.046101875,-0.010404072,-0.026918581,0.026232138,0.020867074,0.025178968,0.024594907,0.006638344,0.000353135,0.012482252,0.000497388,-0.011617101,0.040906766,
7/29/2020,-0.0050761,-0.011081749,-0.018353569,0.007358613,-0.011510196,-0.010567332,0.026263732,-0.010511213,-0.032242838,-0.005884018,0.015783199,0.034790829,0.034509598,
7/30/2020,0.026205908,0.001838894,-0.019645035,-0.018454452,-0.016061032,-0.035503128,0.009356065,0.005954227,-0.01325392,-0.007891736,-0.01046062,0.027714633,0.000751811,
